playername,GP,PIM,DY League NHLe,DY League NHLe Per 82GP,Total PIM Per 82GP,Overall#,Team,Player,Draft Year,is_def,link,rights,status,dob,height,weight,birthplace,nation,shoots,draft,Birth City,Birth State/Province,draft_age
Jonas Brodin,64,38,2.4,3.1,48.7,10,Minnesota Wild,Jonas Brodin (D),2011,1,https://www.eliteprospects.com/player/19980/jonas-brodin,Minnesota Wild,Signed,1993-07-12,"6'1""",89 kg / 196,"Karlstad, SWE",Sweden,L,2011 round 1 #10 overall by Minnesota Wild,Karlstad, ,14.0
Jonas Holøs,67,107,3.8,4.7,131.0,170,Colorado Avalanche,Jonas Holøs (D),2008,1,https://www.eliteprospects.com/player/15713/jonas-holos,-,-,1987-08-27,"5'11""",92 kg / 203,"Sarpsborg, NOR",Norway,R,2008 round 6 #170 overall by Colorado Avalanche,Sarpsborg, ,19.8
Jonas Siegenthaler,134,158,6.3999999999999995,3.9,96.7,57,Washington Capitals,Jonas Siegenthaler (D),2015,1,https://www.eliteprospects.com/player/105407/jonas-siegenthaler,New Jersey Devils,Signed,1997-05-06,"6'2""",99 kg / 218,"Zürich, SUI",Switzerland,L,2015 round 2 #57 overall by Washington Capitals,Zürich, ,10.2
Jonatan Nielsen,42,26,0.8,1.6,50.8,194,Florida Panthers,Jonatan Nielsen (D),2012,1,https://www.eliteprospects.com/player/23547/jonatan-nielsen,-,-,1993-09-11,"6'3""",83 kg / 183,"Anderstorp, SWE",Sweden,L,2012 round 7 #194 overall by Florida Panthers,Anderstorp, ,13.8
Jonathan Carlsson,71,45,2.8,3.2,52.0,162,Chicago Blackhawks,Jonathan Carlsson (D),2008,1,https://www.eliteprospects.com/player/3706/jonathan-carlsson,-,-,1988-08-05,"6'1""",91 kg / 201,"Uppsala, SWE",Sweden,R,2008 round 6 #162 overall by Chicago Blackhawks,Uppsala, ,18.9
Jonathan Drouin,55,32,13.0,19.4,47.7,3,Tampa Bay Lightning,Jonathan Drouin (F),2013,0,https://www.eliteprospects.com/player/118657/jonathan-drouin,Montréal Canadiens,Signed,1995-03-28,"6'0""",92 kg / 203,"Ste-Agathe-des-Monts, QC, CAN",Canada,L,2013 round 1 #3 overall by Tampa Bay Lightning,Ste-Agathe-des-Monts, ,12.3
Jonathan Huberdeau,67,88,11.9,14.6,107.7,3,Florida Panthers,Jonathan Huberdeau (F),2011,0,https://www.eliteprospects.com/player/45261/jonathan-huberdeau,Calgary Flames,Signed,1993-06-04,"6'1""",92 kg / 203,"St-Jérôme, QC, CAN",Canada,L,2011 round 1 #3 overall by Florida Panthers,St-Jérôme, ,14.1
Jonathan Racine,68,86,0.8,1.0,103.7,87,Florida Panthers,Jonathan Racine (D),2011,1,https://www.eliteprospects.com/player/45270/jonathan-racine,-,-,1993-05-28,"6'2""",88 kg / 194,"Montréal, QC, CAN",Canada,L,2011 round 3 #87 overall by Florida Panthers,Montréal, ,14.1
Jonathan-Ismael Diaby,67,117,2.9,3.5,143.2,64,Nashville Predators,Jonathan-Ismael Diaby (D),2013,1,https://www.eliteprospects.com/player/94297/jonathan-ismael-diaby,-,-,1994-11-16,"6'5""",99 kg / 218,"Blainville, QC, CAN",Canada,L,2013 round 3 #64 overall by Nashville Predators,Blainville, ,12.6
Jonathon Blum,72,48,7.2,8.2,54.7,23,Nashville Predators,Jonathon Blum (D),2007,1,https://www.eliteprospects.com/player/11597/jonathon-blum,-,-,1989-01-30,"6'1""",87 kg / 192,"Long Beach, CA, USA",USA,R,2007 round 1 #23 overall by Nashville Predators,Long Beach, ,18.4
Joni Tuulola,45,20,4.7,8.6,36.4,181,Chicago Blackhawks,Joni Tuulola (D),2015,1,https://www.eliteprospects.com/player/90023/joni-tuulola,-,-,1996-01-01,"6'3""",84 kg / 185,"Hämeenlinna, FIN",Finland,L,2015 round 6 #181 overall by Chicago Blackhawks,Hämeenlinna, ,11.5
Jonne Tammela,88,52,4.7,4.4,48.5,118,Tampa Bay Lightning,Jonne Tammela (F),2015,0,https://www.eliteprospects.com/player/131138/jonne-tammela,-,-,1997-08-05,"5'11""",84 kg / 185,"Ylivieska, FIN",Finland,L,2015 round 4 #118 overall by Tampa Bay Lightning,Ylivieska, ,9.9
Jonny Brodzinski,42,10,6.4,12.5,19.5,148,Los Angeles Kings,Jonny Brodzinski (F),2013,0,https://www.eliteprospects.com/player/108294/jonny-brodzinski,New York Rangers,Signed,1993-06-19,"6'0""",96 kg / 212,"Ham Lake, MN, USA",USA,R,2013 round 5 #148 overall by Los Angeles Kings,Ham Lake, ,14.0
Joonas Donskoi,61,6,5.5,7.4,8.1,99,Florida Panthers,Joonas Donskoi (F),2010,0,https://www.eliteprospects.com/player/16039/joonas-donskoi,Seattle Kraken,Signed,1992-04-13,"6'0""",86 kg / 190,"Raahe, FIN",Finland,R,2010 round 4 #99 overall by Florida Panthers,Raahe, ,15.2
Joonas Lyytinen,54,56,6.0,9.1,85.0,132,Nashville Predators,Joonas Lyytinen (D),2014,1,https://www.eliteprospects.com/player/66296/joonas-lyytinen,-,-,1995-04-04,"6'0""",79 kg / 174,"Espoo, FIN",Finland,L,2014 round 5 #132 overall by Nashville Predators,Espoo, ,12.2
Joonas Nättinen,73,24,5.2,5.8,27.0,65,Montréal Canadiens,Joonas Nättinen (F),2009,0,https://www.eliteprospects.com/player/16043/joonas-nattinen,-,-,1991-01-03,"6'2""",87 kg / 192,"Jämsä, FIN",Finland,R,2009 round 3 #65 overall by Montréal Canadiens,Jämsä, ,16.5
Joonas Rask,66,38,8.9,11.1,47.2,198,Nashville Predators,Joonas Rask (F),2010,0,https://www.eliteprospects.com/player/16049/joonas-rask,-,-,1990-03-24,"5'10""",87 kg / 192,"Savonlinna, FIN",Finland,R,2010 round 7 #198 overall by Nashville Predators,Savonlinna, ,17.3
Jordan Bendfeld,72,160,3.5,4.0,182.2,193,Edmonton Oilers,Jordan Bendfeld (D),2008,1,https://www.eliteprospects.com/player/11669/jordan-bendfeld,-,-,1988-02-09,"6'3""",111 kg / 245,"Leduc, AB, CAN",Canada,R,2008 round 7 #193 overall by Edmonton Oilers,Leduc, ,19.4
Jordan Caron,56,66,7.6,11.1,96.6,25,Boston Bruins,Jordan Caron (F),2009,0,https://www.eliteprospects.com/player/32870/jordan-caron,-,-,1990-11-02,"6'3""",96 kg / 212,"Sayabec, QC, CAN",Canada,L,2009 round 1 #25 overall by Boston Bruins,Sayabec, ,16.7
Jordan Eberle,77,20,12.0,12.8,21.3,22,Edmonton Oilers,Jordan Eberle (F),2008,0,https://www.eliteprospects.com/player/11098/jordan-eberle,Seattle Kraken,Signed,1990-05-15,"5'11""",85 kg / 187,"Regina, SK, CAN",Canada,R,2008 round 1 #22 overall by Edmonton Oilers,Regina, ,17.1
Jordan Fransoo,63,72,2.5,3.3,93.7,186,Ottawa Senators,Jordan Fransoo (D),2011,1,https://www.eliteprospects.com/player/56582/jordan-fransoo,-,-,1993-04-25,"6'3""",92 kg / 203,"North Battleford, SK, CAN",Canada,R,2011 round 7 #186 overall by Ottawa Senators,North Battleford, ,14.2
Jordan Greenway,82,70,9.0,9.0,70.0,50,Minnesota Wild,Jordan Greenway (F),2015,0,https://www.eliteprospects.com/player/183455/jordan-greenway,Minnesota Wild,Signed,1997-02-16,"6'6""",105 kg / 231,"Canton, NY, USA",USA,L,2015 round 2 #50 overall by Minnesota Wild,Canton, ,10.4
Jordan Knackstedt,72,98,7.9,9.0,111.6,189,Boston Bruins,Jordan Knackstedt (F),2007,0,https://www.eliteprospects.com/player/11662/jordan-knackstedt,-,-,1988-09-28,"6'3""",91 kg / 201,"Saskatoon, SK, CAN",Canada,R,2007 round 7 #189 overall by Boston Bruins,Saskatoon, ,18.8
Jordan Martinook,72,80,9.0,10.2,91.1,58,Phoenix Coyotes,Jordan Martinook (F),2012,0,https://www.eliteprospects.com/player/44271/jordan-martinook,Carolina Hurricanes,Signed,1992-07-25,"6'0""",89 kg / 196,"Brandon, MB, CAN",Canada,L,2012 round 2 #58 overall by Phoenix Coyotes,Brandon, ,14.9
Jordan Nolan,64,158,6.2,7.9,202.4,186,Los Angeles Kings,Jordan Nolan (F),2009,0,https://www.eliteprospects.com/player/23805/jordan-nolan,-,-,1989-06-23,"6'3""",99 kg / 218,"Garden River, ON, CAN",Canada,L,2009 round 7 #186 overall by Los Angeles Kings,Garden River, ,18.0
Jordan Samuels-Thomas,59,59,7.7,10.7,82.0,203,Atlanta Thrashers,Jordan Samuels-Thomas (F),2009,0,https://www.eliteprospects.com/player/19154/jordan-samuels-thomas,-,-,1990-05-28,"6'3""",88 kg / 194,"West Hartford, CT, USA",USA,L,2009 round 7 #203 overall by Atlanta Thrashers,West Hartford, ,17.1
Jordan Schmaltz,55,29,5.9,8.8,43.2,25,St. Louis Blues,Jordan Schmaltz (D),2012,1,https://www.eliteprospects.com/player/50291/jordan-schmaltz,-,-,1993-10-08,"6'2""",89 kg / 196,"Madison, WI, USA",USA,R,2012 round 1 #25 overall by St. Louis Blues,Madison, ,13.7
Jordan Schroeder,41,31,11.7,23.4,62.0,22,Vancouver Canucks,Jordan Schroeder (F),2009,0,https://www.eliteprospects.com/player/11466/jordan-schroeder,-,-,1990-09-29,"5'9""",79 kg / 174,"Lakeville, MN, USA",USA,R,2009 round 1 #22 overall by Vancouver Canucks,Lakeville, ,16.8
Jordan Subban,68,47,7.3,8.8,56.7,115,Vancouver Canucks,Jordan Subban (D),2013,1,https://www.eliteprospects.com/player/97951/jordan-subban,-,-,1995-03-03,"5'9""",79 kg / 174,"Rexdale, ON, CAN",Canada,R,2013 round 4 #115 overall by Vancouver Canucks,Rexdale, ,12.3
Jordan Szwarz,67,76,7.3,8.9,93.0,97,Phoenix Coyotes,Jordan Szwarz (F),2009,0,https://www.eliteprospects.com/player/23107/jordan-szwarz,-,-,1991-05-14,"5'11""",87 kg / 192,"Burlington, ON, CAN",Canada,R,2009 round 4 #97 overall by Phoenix Coyotes,Burlington, ,16.1
Jordan Weal,78,84,15.6,16.4,88.3,70,Los Angeles Kings,Jordan Weal (F),2010,0,https://www.eliteprospects.com/player/23324/jordan-weal,-,-,1992-04-15,"5'9""",81 kg / 179,"Saskatoon, SK, CAN",Canada,R,2010 round 3 #70 overall by Los Angeles Kings,Saskatoon, ,15.2
Jordon Southorn,69,70,3.5,4.2,83.2,104,Buffalo Sabres,Jordon Southorn (D),2008,1,https://www.eliteprospects.com/player/19076/jordon-southorn,-,-,1990-05-15,"6'1""",84 kg / 185,"Montréal, QC, CAN",Canada,L,2008 round 4 #104 overall by Buffalo Sabres,Montréal, ,17.1
Jori Lehterä,54,32,18.5,28.1,48.6,65,St. Louis Blues,Jori Lehterä (F),2008,0,https://www.eliteprospects.com/player/8042/jori-lehtera,-,-,1987-12-23,"6'2""",96 kg / 212,"Espoo, FIN",Finland,L,2008 round 3 #65 overall by St. Louis Blues,Espoo, ,19.5
Joseph Blandisi,68,72,4.5,5.4,86.8,162,Colorado Avalanche,Joseph Blandisi (F),2012,0,https://www.eliteprospects.com/player/99041/joseph-blandisi,-,-,1994-07-18,"6'0""",83 kg / 183,"Markham, ON, CAN",Canada,L,2012 round 6 #162 overall by Colorado Avalanche,Markham, ,13.0
Joseph Cecconi,60,35,2.4,3.3,47.8,133,Dallas Stars,Joseph Cecconi (D),2015,1,https://www.eliteprospects.com/player/232945/joseph-cecconi,Buffalo Sabres,Signed,1997-05-23,"6'3""",98 kg / 216,"Youngstown, NY, USA",USA,R,2015 round 5 #133 overall by Dallas Stars,Youngstown, ,10.1
Joseph Cramarossa,59,101,4.6,6.4,140.4,65,Anaheim Ducks,Joseph Cramarossa (F),2011,0,https://www.eliteprospects.com/player/45600/joseph-cramarossa,Minnesota Wild,Signed,1992-10-26,"6'1""",86 kg / 190,"Markham, ON, CAN",Canada,L,2011 round 3 #65 overall by Anaheim Ducks,Markham, ,14.7
Joseph LaBate,30,44,1.4,3.8,120.3,101,Vancouver Canucks,Joseph LaBate (F),2011,0,https://www.eliteprospects.com/player/75066/joseph-labate,-,-,1993-04-16,"6'5""",95 kg / 209,"Eagan, MN, USA",USA,L,2011 round 4 #101 overall by Vancouver Canucks,Eagan, ,14.2
Josh Anderson,64,34,3.2,4.1,43.6,95,Columbus Blue Jackets,Josh Anderson (F),2012,0,https://www.eliteprospects.com/player/95853/josh-anderson,Montréal Canadiens,Signed,1994-05-07,"6'3""",103 kg / 227,"Burlington, ON, CAN",Canada,R,2012 round 4 #95 overall by Columbus Blue Jackets,Burlington, ,13.1
Josh Archibald,46,89,2.2,3.9,158.7,174,Pittsburgh Penguins,Josh Archibald (F),2011,0,https://www.eliteprospects.com/player/122788/josh-archibald,Pittsburgh Penguins,Signed,1992-10-06,"5'10""",80 kg / 176,"Regina, SK, CAN",USA,R,2011 round 6 #174 overall by Pittsburgh Penguins,Regina, ,14.7
Josh Bailey,67,32,13.8,16.9,39.2,9,New York Islanders,Josh Bailey (F),2008,0,https://www.eliteprospects.com/player/14013/josh-bailey,New York Islanders,Signed,1989-10-02,"6'1""",91 kg / 201,"Bowmanville, ON, CAN",Canada,L,2008 round 1 #9 overall by New York Islanders,Bowmanville, ,17.7
Josh Birkholz,55,52,5.1,7.6,77.5,67,Florida Panthers,Josh Birkholz (F),2009,0,https://www.eliteprospects.com/player/33894/josh-birkholz,-,-,1991-03-28,"6'0""",86 kg / 190,"St. Louis Park, MN, USA",USA,R,2009 round 3 #67 overall by Florida Panthers,St. Louis Park, ,16.3
Josh Brittain,75,110,7.3999999999999995,8.1,120.3,71,Anaheim Ducks,Josh Brittain (F),2008,0,https://www.eliteprospects.com/player/15705/josh-brittain,-,-,1990-01-03,"6'5""",103 kg / 227,"Milton, ON, CAN",Canada,L,2008 round 3 #71 overall by Anaheim Ducks,Milton, ,17.5
Josh Brown,68,79,2.3,2.8,95.3,152,Florida Panthers,Josh Brown (D),2013,1,https://www.eliteprospects.com/player/82512/josh-brown,Arizona Coyotes,Signed,1994-01-21,"6'5""",98 kg / 216,"London, ON, CAN",Canada,R,2013 round 6 #152 overall by Florida Panthers,London, ,13.4
Josh Godfrey,68,80,8.2,9.9,96.5,34,Washington Capitals,Josh Godfrey (D),2007,1,https://www.eliteprospects.com/player/12512/josh-godfrey,-,-,1988-01-15,"6'2""",93 kg / 205,"Collingwood, ON, CAN",Canada,R,2007 round 2 #34 overall by Washington Capitals,Collingwood, ,19.5
Josh Ho-Sang,67,44,12.2,14.9,53.9,28,New York Islanders,Josh Ho-Sang (F),2014,0,https://www.eliteprospects.com/player/161290/josh-ho-sang,-,-,1996-01-22,"6'0""",79 kg / 174,"Toronto, ON, CAN",Canada,R,2014 round 1 #28 overall by New York Islanders,Toronto, ,11.4
Josh Jacobs,56,46,3.3,4.8,67.4,41,New Jersey Devils,Josh Jacobs (D),2014,1,https://www.eliteprospects.com/player/168704/josh-jacobs,Colorado Avalanche,Signed,1996-02-15,"6'2""",100 kg / 220,"Shelby Township, MI, USA",USA,R,2014 round 2 #41 overall by New Jersey Devils,Shelby Township, ,11.4
Josh Kidd,64,96,3.9,5.0,123.0,184,Los Angeles Kings,Josh Kidd (D),2007,1,https://www.eliteprospects.com/player/13606/josh-kidd,-,-,1988-11-16,"6'4""",100 kg / 220,"Sundridge, ON, CAN",Canada,R,2007 round 7 #184 overall by Los Angeles Kings,Sundridge, ,18.6
Josh Leivo,64,37,4.3,5.5,47.4,86,Toronto Maple Leafs,Josh Leivo (F),2011,0,https://www.eliteprospects.com/player/88692/josh-leivo,St. Louis Blues,Signed,1993-05-26,"6'2""",87 kg / 192,"Innisfil, ON, CAN",Canada,R,2011 round 3 #86 overall by Toronto Maple Leafs,Innisfil, ,14.1
Josh Manson,57,80,3.8,5.5,115.1,160,Anaheim Ducks,Josh Manson (D),2011,1,https://www.eliteprospects.com/player/47762/josh-manson,Colorado Avalanche,Signed,1991-10-07,"6'3""",99 kg / 218,"Hinsdale, IL, USA",Canada,R,2011 round 6 #160 overall by Anaheim Ducks,Hinsdale, ,15.7
Josh Morrissey,77,95,7.5,8.0,101.2,13,Winnipeg Jets,Josh Morrissey (D),2013,1,https://www.eliteprospects.com/player/62293/josh-morrissey,Winnipeg Jets,Signed,1995-03-28,"6'0""",88 kg / 194,"Calgary, AB, CAN",Canada,L,2013 round 1 #13 overall by Winnipeg Jets,Calgary, ,12.3
Josh Nicholls,71,55,6.8,7.9,63.5,182,Toronto Maple Leafs,Josh Nicholls (F),2010,0,https://www.eliteprospects.com/player/32770/josh-nicholls,-,-,1992-04-27,"6'2""",85 kg / 187,"Richmond, BC, CAN",China,R,2010 round 7 #182 overall by Toronto Maple Leafs,Richmond, ,15.2
Josh Shalla,68,62,10.4,12.5,74.8,94,Nashville Predators,Josh Shalla (F),2011,0,https://www.eliteprospects.com/player/37624/josh-shalla,-,-,1991-09-25,"6'1""",92 kg / 203,"Oshawa, ON, CAN",Canada,L,2011 round 4 #94 overall by Nashville Predators,Oshawa, ,15.8
Josh Wesley,68,62,1.3,1.6,74.8,96,Carolina Hurricanes,Josh Wesley (D),2014,1,https://www.eliteprospects.com/player/189578/josh-wesley,-,-,1996-04-09,"6'3""",94 kg / 207,"Hartford, CT, USA",USA,R,2014 round 4 #96 overall by Carolina Hurricanes,Hartford, ,11.2
Joshua Turnbull,60,66,7.7,10.5,90.2,137,Los Angeles Kings,Joshua Turnbull (F),2007,0,https://www.eliteprospects.com/player/17842/joshua-turnbull,-,-,1988-07-12,"5'10""",78 kg / 172,"Hayward, WI, USA",USA,R,2007 round 5 #137 overall by Los Angeles Kings,Hayward, ,19.0
Josiah Didier,58,81,3.0,4.2,114.5,97,Montréal Canadiens,Josiah Didier (D),2011,1,https://www.eliteprospects.com/player/89813/josiah-didier,-,-,1993-04-08,"6'3""",101 kg / 223,"Littleton, CO, USA",USA,R,2011 round 4 #97 overall by Montréal Canadiens,Littleton, ,14.2
Joël Champagne,70,45,4.5,5.3,52.7,129,Toronto Maple Leafs,Joël Champagne (F),2008,0,https://www.eliteprospects.com/player/19046/joel-champagne,-,-,1990-01-24,"6'4""",99 kg / 218,"Châteauguay, QC, CAN",Canada,L,2008 round 5 #129 overall by Toronto Maple Leafs,Châteauguay, ,17.4
Joël Chouinard,69,95,4.0,4.8,112.9,167,Colorado Avalanche,Joël Chouinard (D),2008,1,https://www.eliteprospects.com/player/13783/joel-chouinard,-,-,1990-04-08,"6'1""",85 kg / 187,"Longueuil, QC, CAN",Canada,L,2008 round 6 #167 overall by Colorado Avalanche,Longueuil, ,17.2
Joël Vermin,96,28,32.2,27.5,23.9,186,Tampa Bay Lightning,Joël Vermin (F),2013,0,https://www.eliteprospects.com/player/34828/joel-vermin,-,-,1992-02-05,"5'11""",87 kg / 192,"Frauenkappelen, SUI",Switzerland,L,2013 round 7 #186 overall by Tampa Bay Lightning,Frauenkappelen, ,15.4
Judd Peterson,46,54,2.1,3.7,96.3,204,Buffalo Sabres,Judd Peterson (F),2012,0,https://www.eliteprospects.com/player/118099/judd-peterson,-,-,1993-09-27,"6'0""",86 kg / 190,"Duluth, MN, USA",USA,R,2012 round 7 #204 overall by Buffalo Sabres,Duluth, ,13.8
Juho Lammikko,82,42,4.7,4.7,42.0,65,Florida Panthers,Juho Lammikko (F),2014,0,https://www.eliteprospects.com/player/151955/juho-lammikko,-,-,1996-01-29,"6'3""",92 kg / 203,"Noormarkku, FIN",Finland,L,2014 round 3 #65 overall by Florida Panthers,Noormarkku, ,11.4
Jujhar Khaira,54,69,6.3,9.6,104.8,63,Edmonton Oilers,Jujhar Khaira (F),2012,0,https://www.eliteprospects.com/player/93577/jujhar-khaira,Chicago Blackhawks,Signed,1994-08-13,"6'4""",96 kg / 212,"Surrey, BC, CAN",Canada,L,2012 round 3 #63 overall by Edmonton Oilers,Surrey, ,12.9
Julian Melchiori,39,16,0.8,1.7,33.6,87,Atlanta Thrashers,Julian Melchiori (D),2010,1,https://www.eliteprospects.com/player/73778/julian-melchiori,-,-,1991-12-06,"6'5""",101 kg / 223,"Richmond Hill, ON, CAN",Canada,L,2010 round 3 #87 overall by Atlanta Thrashers,Richmond Hill, ,15.6
Julien Cayer,42,56,1.6,3.1,109.3,151,Detroit Red Wings,Julien Cayer (F),2008,0,https://www.eliteprospects.com/player/19077/julien-cayer,-,-,1989-07-06,"6'4""",91 kg / 201,"Longueuil, QC, CAN",Canada,L,2008 round 5 #151 overall by Detroit Red Wings,Longueuil, ,18.0
Julien Demers,65,94,4.8,6.1,118.6,146,San Jose Sharks,Julien Demers (D),2008,1,https://www.eliteprospects.com/player/19050/julien-demers,-,-,1989-11-25,"6'2""",99 kg / 218,"Ottawa, ON, CAN",Canada,L,2008 round 5 #146 overall by San Jose Sharks,Ottawa, ,17.6
Julien Nantel,68,18,3.8,4.6,21.7,204,Colorado Avalanche,Julien Nantel (F),2014,0,https://www.eliteprospects.com/player/151707/julien-nantel,-,-,1996-09-06,"6'1""",88 kg / 194,"Laval, QC, CAN",Canada,L,2014 round 7 #204 overall by Colorado Avalanche,Laval, ,10.8
Julien Pelletier,67,28,5.6,6.9,34.3,107,Columbus Blue Jackets,Julien Pelletier (F),2014,0,https://www.eliteprospects.com/player/149432/julien-pelletier,-,-,1996-06-28,"5'11""",83 kg / 183,"Buckingham, QC, CAN",Canada,L,2014 round 4 #107 overall by Columbus Blue Jackets,Buckingham, ,11.0
Julius Bergman,50,58,3.1,5.1,95.1,46,San Jose Sharks,Julius Bergman (D),2014,1,https://www.eliteprospects.com/player/38929/julius-bergman,-,-,1995-11-02,"6'1""",93 kg / 205,"Stockholm, SWE",Sweden,R,2014 round 2 #46 overall by San Jose Sharks,Stockholm, ,11.7
Julius Honka,74,58,8.200000000000001,9.1,64.3,14,Dallas Stars,Julius Honka (D),2014,1,https://www.eliteprospects.com/player/65456/julius-honka,-,-,1995-12-03,"5'11""",84 kg / 185,"Jyväskylä, FIN",Finland,R,2014 round 1 #14 overall by Dallas Stars,Jyväskylä, ,11.6
Julius Nättinen,78,20,7.0,7.4,21.0,59,Anaheim Ducks,Julius Nättinen (F),2015,0,https://www.eliteprospects.com/player/85961/julius-nattinen,-,-,1997-01-14,"6'2""",93 kg / 205,"Jyväskylä, FIN",Finland,L,2015 round 2 #59 overall by Anaheim Ducks,Jyväskylä, ,10.5
Julius Vähätalo,51,6,4.5,7.2,9.6,166,Detroit Red Wings,Julius Vähätalo (F),2014,0,https://www.eliteprospects.com/player/73323/julius-vahatalo,-,-,1995-03-23,"6'5""",87 kg / 192,"Vahto, FIN",Finland,L,2014 round 6 #166 overall by Detroit Red Wings,Vahto, ,12.3
Juraj Mikus,71,76,1.4000000000000001,1.6,87.8,134,Toronto Maple Leafs,Juraj Mikus (D),2007,1,https://www.eliteprospects.com/player/12533/juraj-mikus,-,-,1988-11-30,"6'4""",95 kg / 209,"Trencin, SVK",Slovakia,L,2007 round 5 #134 overall by Toronto Maple Leafs,Trencin, ,18.6
Justin Auger,68,39,4.8,5.8,47.0,103,Los Angeles Kings,Justin Auger (F),2013,0,https://www.eliteprospects.com/player/117322/justin-auger,-,-,1994-05-14,"6'6""",105 kg / 231,"Waterloo, ON, CAN",Canada,R,2013 round 4 #103 overall by Los Angeles Kings,Waterloo, ,13.1
Justin Azevedo,67,69,17.9,21.9,84.4,153,Los Angeles Kings,Justin Azevedo (F),2008,0,https://www.eliteprospects.com/player/9347/justin-azevedo,-,-,1988-04-01,"5'7""",79 kg / 174,"West Lorne, ON, CAN",Canada,R,2008 round 6 #153 overall by Los Angeles Kings,West Lorne, ,19.2
Justin Bailey,57,34,5.2,7.5,48.9,52,Buffalo Sabres,Justin Bailey (F),2013,0,https://www.eliteprospects.com/player/116970/justin-bailey,-,-,1995-07-01,"6'4""",97 kg / 214,"Buffalo, NY, USA",USA,R,2013 round 2 #52 overall by Buffalo Sabres,Buffalo, ,12.0
Justin Braun,39,20,2.7,5.7,42.1,201,San Jose Sharks,Justin Braun (D),2007,1,https://www.eliteprospects.com/player/15033/justin-braun,Philadelphia Flyers,Signed,1987-02-10,"6'2""",93 kg / 205,"St. Paul, MN, USA",USA,R,2007 round 7 #201 overall by San Jose Sharks,St. Paul, ,20.4
Justin Courtnall,58,83,1.1,1.6,117.3,210,Tampa Bay Lightning,Justin Courtnall (F),2007,0,https://www.eliteprospects.com/player/12540/justin-courtnall,-,-,1989-05-22,"6'3""",84 kg / 185,"Victoria, BC, CAN",Canada,L,2007 round 7 #210 overall by Tampa Bay Lightning,Victoria, ,18.1
Justin Daniels,25,10,1.5,4.9,32.8,62,San Jose Sharks,Justin Daniels (F),2008,0,https://www.eliteprospects.com/player/19060/justin-daniels,-,-,1989-06-07,"6'1""",80 kg / 176,"Suffern, NY, USA",USA,R,2008 round 3 #62 overall by San Jose Sharks,Suffern, ,18.1
Justin DiBenedetto,58,61,13.4,18.9,86.2,175,New York Islanders,Justin DiBenedetto (F),2008,0,https://www.eliteprospects.com/player/13844/justin-dibenedetto,-,-,1988-08-25,"6'0""",90 kg / 198,"Maple, ON, CAN",Canada,L,2008 round 6 #175 overall by New York Islanders,Maple, ,18.8
Justin Falk,62,88,2.1,2.8,116.4,110,Minnesota Wild,Justin Falk (D),2007,1,https://www.eliteprospects.com/player/12543/justin-falk,-,-,1988-10-11,"6'5""",101 kg / 223,"Snowflake, MB, CAN",Canada,L,2007 round 4 #110 overall by Minnesota Wild,Snowflake, ,18.7
Justin Faulk,67,72,4.7,5.8,88.1,37,Carolina Hurricanes,Justin Faulk (D),2010,1,https://www.eliteprospects.com/player/20715/justin-faulk,St. Louis Blues,Signed,1992-03-20,"6'0""",98 kg / 216,"South St. Paul, MN, USA",USA,R,2010 round 2 #37 overall by Carolina Hurricanes,South St. Paul, ,15.3
Justin Florek,41,22,6.8,13.6,44.0,135,Boston Bruins,Justin Florek (F),2010,0,https://www.eliteprospects.com/player/17503/justin-florek,-,-,1990-05-18,"6'4""",93 kg / 205,"Marquette, MI, USA",USA,L,2010 round 5 #135 overall by Boston Bruins,Marquette, ,17.1
Justin Haché,60,46,2.0,2.7,62.9,208,Phoenix Coyotes,Justin Haché (D),2012,1,https://www.eliteprospects.com/player/56049/justin-hache,-,-,1994-01-10,"6'2""",92 kg / 203,"Petit-Rocher, NB, CAN",Canada,L,2012 round 7 #208 overall by Phoenix Coyotes,Petit-Rocher, ,13.5
Justin Holl,58,32,1.5999999999999999,2.3,45.2,54,Chicago Blackhawks,Justin Holl (D),2010,1,https://www.eliteprospects.com/player/46905/justin-holl,Toronto Maple Leafs,Signed,1992-01-30,"6'4""",88 kg / 194,"Tonka Bay, MN, USA",USA,R,2010 round 2 #54 overall by Chicago Blackhawks,Tonka Bay, ,15.4
Justin Jokinen,25,58,0.9,3.0,190.2,101,Buffalo Sabres,Justin Jokinen (F),2008,0,https://www.eliteprospects.com/player/18851/justin-jokinen,-,-,1989-11-25,"6'3""",84 kg / 185,"Carlton, MN, USA",USA,R,2008 round 4 #101 overall by Buffalo Sabres,Carlton, ,17.6
Justin Kea,65,76,2.0,2.5,95.9,73,Buffalo Sabres,Justin Kea (F),2012,0,https://www.eliteprospects.com/player/83357/justin-kea,-,-,1994-02-07,"6'5""",98 kg / 216,"Woodville, ON, CAN",Canada,L,2012 round 3 #73 overall by Buffalo Sabres,Woodville, ,13.4
Justin Kirkland,68,40,6.8,8.2,48.2,62,Nashville Predators,Justin Kirkland (F),2014,0,https://www.eliteprospects.com/player/63133/justin-kirkland,Anaheim Ducks,Signed,1996-08-02,"6'3""",88 kg / 194,"Camrose, AB, CAN",Canada,L,2014 round 3 #62 overall by Nashville Predators,Camrose, ,10.9
