playername,GP,PIM,DY League NHLe,DY League NHLe Per 82GP,Total PIM Per 82GP,Overall#,Team,Player,Draft Year,is_def,link,rights,status,dob,height,height _inches,weight,weight_pounds,birthplace,nation,shoots,draft,Birth City,new draft_age,redraft
Liam Coughlin ,53,70,3.6,5.6,108.3,130,Edmonton Oilers,Liam Coughlin (F),2014,0,https://www.eliteprospects.com/player/248303/liam-coughlin,-,-,9/19/1994,"6'2""",74,91 kg / 201,201,"South Boston, MA, USA",USA,L,2014 round 5 #130 overall by Edmonton Oilers,South Boston,19.8,FALSE
Liam Dunda ,53,58,1.3,2,89.7,176,St. Louis Blues,Liam Dunda (F),2015,0,https://www.eliteprospects.com/player/234450/liam-dunda,-,-,9/15/1997,"6'4""",76,96 kg / 212,212,"Bellevue, WA, USA",Canada,L,2015 round 6 #176 overall by St. Louis Blues,Bellevue,17.8,FALSE
Linden Vey ,71,20,10.2,11.8,23.1,96,Los Angeles Kings,Linden Vey (F),2009,0,https://www.eliteprospects.com/player/28422/linden-vey,-,-,7/17/1991,"6'2""",74,86 kg / 190,190,"Wakaw, SK, CAN",Canada,R,2009 round 4 #96 overall by Los Angeles Kings,Wakaw,18.0,FALSE
Linus Arnesson ,74,62,0.8,0.9,68.7,60,Boston Bruins,Linus Arnesson (D),2013,1,https://www.eliteprospects.com/player/33350/linus-arnesson,-,-,9/21/1994,"6'2""",74,90 kg / 198,198,"Stockholm, SWE",Sweden,L,2013 round 2 #60 overall by Boston Bruins,Stockholm,18.8,FALSE
Linus Omark ,73,46,10.9,12.2,51.7,97,Edmonton Oilers,Linus Omark (F),2007,0,https://www.eliteprospects.com/player/4008/linus-omark,-,-,2/5/1987,"5'10""",70,82 kg / 181,181,"Ã–vertorneÃ¥, SWE",Sweden,L,2007 round 4 #97 overall by Edmonton Oilers,Ã–vertorneÃ¥,20.4,FALSE
Loic Leduc ,65,99,1.1,1.4,124.9,103,New York Islanders,LoÃ¯c Leduc (D),2012,1,https://www.eliteprospects.com/player/88664/loic-leduc,-,-,6/14/1994,"6'7""",79,106 kg / 234,234,"ChÃ¢teauguay, QC, CAN",Canada,R,2012 round 4 #103 overall by New York Islanders,ChÃ¢teauguay,18.0,FALSE
Logan Couture ,60,26,11.7,16,35.5,9,San Jose Sharks,Logan Couture (F),2007,0,https://www.eliteprospects.com/player/11109/logan-couture,San Jose Sharks,Signed,3/28/1989,"6'1""",73,93 kg / 205,205,"Guelph, ON, CAN",Canada,L,2007 round 1 #9 overall by San Jose Sharks,Guelph,18.2,FALSE
Logan MacMillan ,68,82,6.2,7.5,98.9,19,Anaheim Ducks,Logan MacMillan (F),2007,0,https://www.eliteprospects.com/player/12504/logan-macmillan,-,-,7/5/1989,"6'1""",73,80 kg / 176,176,"Charlottetown, PE, CAN",Canada,L,2007 round 1 #19 overall by Anaheim Ducks,Charlottetown,18.0,FALSE
Logan Nelson ,71,70,8.7,10,80.8,133,Buffalo Sabres,Logan Nelson (F),2012,0,https://www.eliteprospects.com/player/90312/logan-nelson,-,-,9/9/1993,"6'1""",73,95 kg / 209,209,"Rogers, MN, USA",USA,R,2012 round 5 #133 overall by Buffalo Sabres,Rogers,18.8,FALSE
Logan Shaw ,68,37,5.2,6.3,44.6,76,Florida Panthers,Logan Shaw (F),2011,0,https://www.eliteprospects.com/player/37280/logan-shaw,-,-,10/5/1992,"6'4""",76,94 kg / 207,207,"Glace Bay, NS, CAN",Canada,R,2011 round 3 #76 overall by Florida Panthers,Glace Bay,18.7,FALSE
Louie Belpedio ,93,70,5.2,4.6,61.7,80,Minnesota Wild,Louie Belpedio (D),2014,1,https://www.eliteprospects.com/player/177686/louie-belpedio,Philadelphia Flyers,Signed,5/14/1996,"5'11""",71,89 kg / 196,196,"Skokie, IL, USA",USA,R,2014 round 3 #80 overall by Minnesota Wild,Skokie,18.1,FALSE
Louie Caporusso ,37,45,1.7,3.8,99.7,90,Ottawa Senators,Louie Caporusso (F),2007,0,https://www.eliteprospects.com/player/12529/louie-caporusso,-,-,6/21/1989,"5'9""",69,84 kg / 185,185,"Toronto, ON, CAN",Canada,L,2007 round 3 #90 overall by Ottawa Senators,Toronto,18.0,FALSE
Louis Leblanc ,60,78,8.4,11.5,106.6,18,MontrÃ©al Canadiens,Louis Leblanc (F),2009,0,https://www.eliteprospects.com/player/31615/louis-leblanc,-,-,1/26/1991,"6'0""",72,83 kg / 183,183,"Pointe-Claire, QC, CAN",Canada,R,2009 round 1 #18 overall by MontrÃ©al Canadiens,Pointe-Claire,18.4,FALSE
Louis Nanne ,44,42,1,1.9,78.3,188,Minnesota Wild,Louis Nanne (F),2012,0,https://www.eliteprospects.com/player/150969/louis-nanne,-,-,6/18/1994,"5'11""",71,81 kg / 179,179,"Edina, MN, USA",USA,L,2012 round 7 #188 overall by Minnesota Wild,Edina,18.0,FALSE
Louis-Marc Aubry ,66,69,3.7,4.6,85.7,81,Detroit Red Wings,Louis-Marc Aubry (F),2010,0,https://www.eliteprospects.com/player/37500/louis-marc-aubry,-,-,11/11/1991,"6'4""",76,97 kg / 214,214,"Trois-RiviÃ¨res, QC, CAN",Canada,L,2010 round 3 #81 overall by Detroit Red Wings,Trois-RiviÃ¨res,18.6,FALSE
Luc Snuggerud ,51,33,2.1,3.4,53.1,141,Chicago Blackhawks,Luc Snuggerud (D),2014,1,https://www.eliteprospects.com/player/196703/luc-snuggerud,-,-,9/18/1995,"6'0""",72,86 kg / 190,190,"Eden Prairie, MN, USA",USA,L,2014 round 5 #141 overall by Chicago Blackhawks,Eden Prairie,18.8,FALSE
Luca Caputi ,68,66,9.4,11.3,79.6,111,Pittsburgh Penguins,Luca Caputi (F),2007,0,https://www.eliteprospects.com/player/11313/luca-caputi,-,-,10/1/1988,"6'3""",75,98 kg / 216,216,"Toronto, ON, CAN",Canada,L,2007 round 4 #111 overall by Pittsburgh Penguins,Toronto,18.7,FALSE
Luca Cunti ,81,68,3.5,3.5,68.8,75,Tampa Bay Lightning,Luca Cunti (F),2007,0,https://www.eliteprospects.com/player/10902/luca-cunti,-,-,7/4/1989,"6'1""",73,86 kg / 190,190,"ZÃ¼rich, SUI",Switzerland,L,2007 round 3 #75 overall by Tampa Bay Lightning,ZÃ¼rich,18.0,FALSE
Luca Sbisa ,83,71,4.7,4.6,70.1,19,Philadelphia Flyers,Luca Sbisa (D),2008,1,https://www.eliteprospects.com/player/13946/luca-sbisa,-,-,1/30/1990,"6'3""",75,93 kg / 205,205,"Ozieri, ITA",Switzerland,L,2008 round 1 #19 overall by Philadelphia Flyers,Ozieri,18.4,FALSE
Lucas Lessio ,66,66,7.8,9.7,82,56,Phoenix Coyotes,Lucas Lessio (F),2011,0,https://www.eliteprospects.com/player/45173/lucas-lessio,-,-,1/23/1993,"6'1""",73,93 kg / 205,205,"Maple, ON, CAN",Canada,L,2011 round 2 #56 overall by Phoenix Coyotes,Maple,18.4,FALSE
Lucas Wallmark ,76,16,10.7,11.5,17.3,97,Carolina Hurricanes,Lucas Wallmark (F),2014,0,https://www.eliteprospects.com/player/39022/lucas-wallmark,-,-,9/5/1995,"6'0""",72,81 kg / 179,179,"UmeÃ¥, SWE",Sweden,L,2014 round 4 #97 overall by Carolina Hurricanes,UmeÃ¥,18.8,FALSE
Ludvig Rensfeldt ,75,71,6.8,7.4,77.6,35,Chicago Blackhawks,Ludvig Rensfeldt (F),2010,0,https://www.eliteprospects.com/player/13161/ludvig-rensfeldt,-,-,1/29/1992,"6'3""",75,90 kg / 198,198,"GÃ¤vle, SWE",Sweden,L,2010 round 2 #35 overall by Chicago Blackhawks,GÃ¤vle,18.4,FALSE
Ludwig Blomstrand ,66,51,1,1.2,63.4,120,Vancouver Canucks,Ludwig Blomstrand (F),2011,0,https://www.eliteprospects.com/player/21651/ludwig-blomstrand,-,-,3/8/1993,"6'2""",74,102 kg / 225,225,"Uppsala, SWE",Sweden,L,2011 round 4 #120 overall by Vancouver Canucks,Uppsala,18.3,FALSE
Ludwig Bystrom ,82,121,3.3,3.3,121,43,Dallas Stars,Ludwig BystrÃ¶m (D),2012,1,https://www.eliteprospects.com/player/27493/ludwig-bystrom,-,-,7/20/1994,"6'0""",72,79 kg / 174,174,"Ã–rnskÃ¶ldsvik, SWE",Sweden,L,2012 round 2 #43 overall by Dallas Stars,Ã–rnskÃ¶ldsvik,17.9,FALSE
Lukas Jasek ,78,12,3.2,3.4,12.6,174,Vancouver Canucks,Lukas Jasek (F),2015,0,https://www.eliteprospects.com/player/213164/lukas-jasek,Vancouver Canucks,Unsigned,8/28/1997,"6'1""",73,78 kg / 172,172,"Trinec, CZE",Czechia,R,2015 round 6 #174 overall by Vancouver Canucks,Trinec,17.8,FALSE
Lukas Sedlak ,70,87,2.5,2.9,101.9,158,Columbus Blue Jackets,Lukas Sedlak (F),2011,0,https://www.eliteprospects.com/player/56037/lukas-sedlak,-,-,2/25/1993,"6'0""",72,93 kg / 205,205,"Ceske Budejovice, CZE",Czechia,L,2011 round 6 #158 overall by Columbus Blue Jackets,Ceske Budejovice,18.3,FALSE
Lukas Sutter ,45,76,3.2,5.8,138.5,39,Winnipeg Jets,Lukas Sutter (F),2012,0,https://www.eliteprospects.com/player/48665/lukas-sutter,-,-,10/4/1993,"6'1""",73,98 kg / 216,216,"Lethbridge, AB, CAN",Canada,L,2014 round 7 #200 overall by New York Islanders,Lethbridge,18.7,FALSE
Lukas Sutter ,45,76,3.2,5.8,138.5,200,New York Islanders,Lukas Sutter (F),2014,0,https://www.eliteprospects.com/player/48665/lukas-sutter,-,-,10/4/1993,"6'1""",73,98 kg / 216,216,"Lethbridge, AB, CAN",Canada,L,2014 round 7 #200 overall by New York Islanders,Lethbridge,20.7,TRUE
Lukas Vejdemo ,37,51,4.4,9.8,113,87,MontrÃ©al Canadiens,Lukas Vejdemo (F),2015,0,https://www.eliteprospects.com/player/142243/lukas-vejdemo,-,-,1/25/1996,"6'1""",73,90 kg / 198,198,"Stockholm, SWE",Sweden,L,2015 round 3 #87 overall by MontrÃ©al Canadiens,Stockholm,19.4,FALSE
Luke Adam ,70,72,7.5,8.8,84.3,44,Buffalo Sabres,Luke Adam (F),2008,0,https://www.eliteprospects.com/player/13785/luke-adam,-,-,6/18/1990,"6'2""",74,94 kg / 207,207,"St. John's, NL, CAN",Canada,L,2008 round 2 #44 overall by Buffalo Sabres,St. John's,18.0,FALSE
Luke Gazdic ,58,136,1.9,2.7,192.3,172,Dallas Stars,Luke Gazdic (F),2007,0,https://www.eliteprospects.com/player/15037/luke-gazdic,-,-,7/25/1989,"6'4""",76,102 kg / 225,225,"Toronto, ON, CAN",Canada,L,2007 round 6 #172 overall by Dallas Stars,Toronto,17.9,FALSE
Luke Johnson ,57,32,6.6,9.5,46,134,Chicago Blackhawks,Luke Johnson (F),2013,0,https://www.eliteprospects.com/player/94247/luke-johnson,-,-,9/19/1994,"5'11""",71,90 kg / 198,198,"Grand Forks, ND, USA",USA,R,2013 round 5 #134 overall by Chicago Blackhawks,Grand Forks,18.8,FALSE
Luke Moffatt ,102,72,7.2,5.8,57.9,197,Colorado Avalanche,Luke Moffatt (F),2010,0,https://www.eliteprospects.com/player/20722/luke-moffatt,-,-,6/11/1992,"6'0""",72,90 kg / 198,198,"Paradise Valley, AZ, USA",USA,R,2010 round 7 #197 overall by Colorado Avalanche,Paradise Valley,18.0,FALSE
Luke Schenn ,64,106,3.9,5,135.8,5,Toronto Maple Leafs,Luke Schenn (D),2008,1,https://www.eliteprospects.com/player/11400/luke-schenn,Vancouver Canucks,Signed,11/2/1989,"6'2""",74,102 kg / 225,225,"Saskatoon, SK, CAN",Canada,R,2008 round 1 #5 overall by Toronto Maple Leafs,Saskatoon,18.6,FALSE
Luke Stevens ,14,0,0.5,2.9,0,126,Carolina Hurricanes,Luke Stevens (F),2015,0,https://www.eliteprospects.com/player/248399/luke-stevens,-,-,2/11/1997,"6'5""",77,94 kg / 207,207,"Duxbury, MA, USA",USA,L,2015 round 5 #126 overall by Carolina Hurricanes,Duxbury,18.4,FALSE
Luke Walker ,68,109,8,9.6,131.4,139,Colorado Avalanche,Luke Walker (F),2010,0,https://www.eliteprospects.com/player/33566/luke-walker,-,-,2/19/1990,"6'1""",73,80 kg / 176,176,"New Haven, CT, USA",USA,R,2010 round 5 #139 overall by Colorado Avalanche,New Haven,20.4,FALSE
Luke Witkowski ,58,139,1.9,2.7,196.5,160,Tampa Bay Lightning,Luke Witkowski (D),2008,1,https://www.eliteprospects.com/player/19227/luke-witkowski,St. Louis Blues,Signed,4/14/1990,"6'2""",74,95 kg / 209,209,"Holland, MI, USA",USA,R,2008 round 6 #160 overall by Tampa Bay Lightning,Holland,18.2,FALSE
Mackenze Stewart ,55,69,1.3,1.9,102.9,186,Vancouver Canucks,Mackenze Stewart (D),2014,1,https://www.eliteprospects.com/player/62280/mackenze-stewart,-,-,8/10/1995,"6'3""",75,109 kg / 240,240,"Calgary, AB, CAN",Canada,L,2014 round 7 #186 overall by Vancouver Canucks,Calgary,18.9,FALSE
Mackenzie MacEachern ,29,16,2.2,6.2,45.2,67,St. Louis Blues,Mackenzie MacEachern (F),2012,0,https://www.eliteprospects.com/player/183505/mackenzie-maceachern,Carolina Hurricanes,Signed,3/9/1994,"6'2""",74,88 kg / 194,194,"Bloomfield Hills, MI, USA",USA,L,2012 round 3 #67 overall by St. Louis Blues,Bloomfield Hills,18.3,FALSE
MacKenzie Weegar ,62,58,5,6.6,76.7,206,Florida Panthers,MacKenzie Weegar (D),2013,1,https://www.eliteprospects.com/player/97908/mackenzie-weegar,Calgary Flames,Signed,1/7/1994,"6'0""",72,91 kg / 201,201,"Nepean, ON, CAN",Canada,R,2013 round 7 #206 overall by Florida Panthers,Nepean,19.5,FALSE
Madison Bowey ,76,81,4.7,5.1,87.4,53,Washington Capitals,Madison Bowey (D),2013,1,https://www.eliteprospects.com/player/97787/madison-bowey,MontrÃ©al Canadiens,Signed,4/22/1995,"6'2""",74,92 kg / 203,203,"Winnipeg, MB, CAN",Canada,R,2013 round 2 #53 overall by Washington Capitals,Winnipeg,18.2,FALSE
Magnus Nygren ,57,14,12.4,17.8,20.1,113,MontrÃ©al Canadiens,Magnus Nygren (D),2011,1,https://www.eliteprospects.com/player/10538/magnus-nygren,-,-,6/7/1990,"6'0""",72,90 kg / 198,198,"Karlstad, SWE",Sweden,R,2011 round 4 #113 overall by MontrÃ©al Canadiens,Karlstad,21.1,FALSE
Magnus Paajarvi ,86,22,13.1,12.5,21,10,Edmonton Oilers,Magnus PÃ¤Ã¤jÃ¤rvi (F),2009,0,https://www.eliteprospects.com/player/6014/magnus-paajarvi,-,-,4/12/1991,"6'2""",74,93 kg / 205,205,"NorrkÃ¶ping, SWE",Sweden,L,2009 round 1 #10 overall by Edmonton Oilers,NorrkÃ¶ping,18.2,FALSE
Marc McNulty ,52,70,2.1,3.3,110.4,169,Detroit Red Wings,Marc McNulty (D),2013,1,https://www.eliteprospects.com/player/83498/marc-mcnulty,-,-,4/5/1995,"6'7""",79,95 kg / 209,209,"Medicine Hat, AB, CAN",Canada,L,2013 round 6 #169 overall by Detroit Red Wings,Medicine Hat,18.2,FALSE
Marc-Andre Bourdon,69,114,6.7,8,135.5,67,Philadelphia Flyers,Marc-AndrÃ© Bourdon (D),2008,1,https://www.eliteprospects.com/player/19078/marc-andre-bourdon,-,-,9/17/1989,"6'0""",72,93 kg / 205,205,"Saint-Hyacinthe, QC, CAN",Canada,L,2008 round 3 #67 overall by Philadelphia Flyers,Saint-Hyacinthe,18.8,FALSE
Marcel Noebels ,82,27,8.4,8.4,27,118,Philadelphia Flyers,Marcel Noebels (F),2011,0,https://www.eliteprospects.com/player/34847/marcel-noebels,-,-,3/14/1992,"6'3""",75,93 kg / 205,205,"TÃ¶nisvorst, GER",Germany,L,2011 round 4 #118 overall by Philadelphia Flyers,TÃ¶nisvorst,19.3,FALSE
Marco Scandella ,72,41,1.9,2.2,46.7,55,Minnesota Wild,Marco Scandella (D),2008,1,https://www.eliteprospects.com/player/17520/marco-scandella,St. Louis Blues,Signed,2/23/1990,"6'3""",75,95 kg / 209,209,"MontrÃ©al, QC, CAN",Canada,L,2008 round 2 #55 overall by Minnesota Wild,MontrÃ©al,18.3,FALSE
Marc-Olivier Roy ,65,68,7.6,9.6,85.8,56,Edmonton Oilers,Marc-Olivier Roy (F),2013,0,https://www.eliteprospects.com/player/97663/marc-olivier-roy,-,-,11/5/1994,"6'1""",73,85 kg / 187,187,"Boisbriand, QC, CAN",Canada,L,2013 round 2 #56 overall by Edmonton Oilers,Boisbriand,18.7,FALSE
Marcus Foligno ,65,96,4.3,5.4,121.1,104,Buffalo Sabres,Marcus Foligno (F),2009,0,https://www.eliteprospects.com/player/18601/marcus-foligno,Minnesota Wild,Signed,8/10/1991,"6'3""",75,103 kg / 227,227,"Buffalo, NY, USA",Canada,L,2009 round 4 #104 overall by Buffalo Sabres,Buffalo,17.9,FALSE
Marcus Johansson ,75,12,7.5,8.2,13.1,24,Washington Capitals,Marcus Johansson (F),2009,0,https://www.eliteprospects.com/player/6225/marcus-johansson,Washington Capitals,Signed,10/6/1990,"5'11""",71,93 kg / 205,205,"Landskrona, SWE",Sweden,L,2009 round 1 #24 overall by Washington Capitals,Landskrona,18.7,FALSE
Marcus Karlstrom ,63,56,2,2.6,72.9,194,Winnipeg Jets,Marcus KarlstrÃ¶m (D),2013,1,https://www.eliteprospects.com/player/88843/marcus-karlstrom,-,-,1/6/1995,"6'2""",74,86 kg / 190,190,"TrÃ¥ngsund, SWE",Sweden,R,2013 round 7 #194 overall by Winnipeg Jets,TrÃ¥ngsund,18.5,FALSE
Marcus Kruger ,55,28,5.8,8.6,41.7,149,Chicago Blackhawks,Marcus KrÃ¼ger (F),2009,0,https://www.eliteprospects.com/player/8311/marcus-kruger,-,-,5/27/1990,"6'0""",72,81 kg / 179,179,"Stockholm, SWE",Sweden,L,2009 round 5 #149 overall by Chicago Blackhawks,Stockholm,19.1,FALSE
Marcus Pettersson ,71,48,1.7,2,55.4,38,Anaheim Ducks,Marcus Pettersson (D),2014,1,https://www.eliteprospects.com/player/86321/marcus-pettersson,Pittsburgh Penguins,Signed,5/8/1996,"6'4""",76,80 kg / 176,176,"SkellefteÃ¥, SWE",Sweden,L,2014 round 2 #38 overall by Anaheim Ducks,SkellefteÃ¥,18.1,FALSE
Marcus Sorensen ,45,115,2.7,4.9,209.6,106,Ottawa Senators,Marcus SÃ¶rensen (F),2010,0,https://www.eliteprospects.com/player/20065/marcus-sorensen,-,-,4/7/1992,"5'11""",71,79 kg / 174,174,"SÃ¶dertÃ¤lje, SWE",Sweden,L,2010 round 4 #106 overall by Ottawa Senators,SÃ¶dertÃ¤lje,18.2,FALSE
Marcus Vela ,50,57,3.7,6.1,93.5,190,San Jose Sharks,Marcus Vela (F),2015,0,https://www.eliteprospects.com/player/199950/marcus-vela,-,-,3/3/1997,"6'2""",74,91 kg / 201,201,"Burnaby, BC, CAN",Canada,R,2015 round 7 #190 overall by San Jose Sharks,Burnaby,18.3,FALSE
Marek Tvrdon ,12,14,1.6,10.9,95.7,115,Detroit Red Wings,Marek Tvrdon (F),2011,0,https://www.eliteprospects.com/player/34760/marek-tvrdon,-,-,1/31/1993,"6'2""",74,95 kg / 209,209,"Nitra, SVK",Slovakia,L,2011 round 4 #115 overall by Detroit Red Wings,Nitra,18.4,FALSE
Marek Viedensky ,66,38,6.7,8.3,47.2,189,San Jose Sharks,Marek Viedensky (F),2009,0,https://www.eliteprospects.com/player/17752/marek-viedensky,-,-,8/18/1990,"6'4""",76,95 kg / 209,209,"Handlova, SVK",Slovakia,R,2009 round 7 #189 overall by San Jose Sharks,Handlova,18.9,FALSE
Mario Kempe ,62,51,4.7,6.2,67.5,122,Philadelphia Flyers,Mario Kempe (F),2007,0,https://www.eliteprospects.com/player/4407/mario-kempe,-,-,9/19/1988,"6'0""",72,86 kg / 190,190,"Kramfors, SWE",Sweden,L,2007 round 5 #122 overall by Philadelphia Flyers,Kramfors,18.8,FALSE
Mario Lucia ,55,18,2.4,3.6,26.8,60,Minnesota Wild,Mario Lucia (F),2011,0,https://www.eliteprospects.com/player/75068/mario-lucia,-,-,8/25/1993,"6'2""",74,89 kg / 196,196,"Fairbanks, AK, USA",USA,L,2011 round 2 #60 overall by Minnesota Wild,Fairbanks,17.8,FALSE
Mark Adams ,64,36,1.8,2.3,46.1,134,Buffalo Sabres,Mark Adams (D),2009,1,https://www.eliteprospects.com/player/40881/mark-adams,-,-,5/23/1991,"6'3""",75,95 kg / 209,209,"Boxford, MA, USA",USA,R,2009 round 5 #134 overall by Buffalo Sabres,Boxford,18.1,FALSE
Mark Alt ,46,18,0.9,1.6,32.1,53,Carolina Hurricanes,Mark Alt (D),2010,1,https://www.eliteprospects.com/player/74998/mark-alt,-,-,10/18/1991,"6'4""",76,91 kg / 201,201,"Kansas City, MO, USA",USA,R,2010 round 2 #53 overall by Carolina Hurricanes,Kansas City,18.7,FALSE
Mark Barberio ,70,75,5.2,6.1,87.9,152,Tampa Bay Lightning,Mark Barberio (D),2008,1,https://www.eliteprospects.com/player/19148/mark-barberio,-,-,3/23/1990,"6'1""",73,94 kg / 207,207,"MontrÃ©al, QC, CAN",Canada,L,2008 round 6 #152 overall by Tampa Bay Lightning,MontrÃ©al,18.3,FALSE
Mark Borowiecki ,46,130,1.2,2.1,231.7,139,Ottawa Senators,Mark Borowiecki (D),2008,1,https://www.eliteprospects.com/player/19223/mark-borowiecki,Nashville Predators,Signed,7/12/1989,"6'2""",74,93 kg / 205,205,"Ottawa, ON, CAN",Canada,L,2008 round 5 #139 overall by Ottawa Senators,Ottawa,19.0,FALSE
Mark Friedman ,51,30,5.7,9.2,48.2,86,Philadelphia Flyers,Mark Friedman (D),2014,1,https://www.eliteprospects.com/player/107113/mark-friedman,Pittsburgh Penguins,Signed,12/25/1995,"5'11""",71,84 kg / 185,185,"Toronto, ON, CAN",Canada,R,2014 round 3 #86 overall by Philadelphia Flyers,Toronto,18.5,FALSE
Mark Goggin ,29,12,1.2,3.4,33.9,197,Boston Bruins,Mark Goggin (F),2008,0,https://www.eliteprospects.com/player/19063/mark-goggin,-,-,7/29/1990,"5'11""",71,84 kg / 185,185,"Chicago, IL, USA",USA,L,2008 round 7 #197 overall by Boston Bruins,Chicago,17.9,FALSE
Mark Jankowski ,54,34,2.1,3.2,51.6,21,Calgary Flames,Mark Jankowski (F),2012,0,https://www.eliteprospects.com/player/146518/mark-jankowski,Nashville Predators,Signed,9/13/1994,"6'4""",76,96 kg / 212,212,"Hamilton, ON, CAN",Canada,L,2012 round 1 #21 overall by Calgary Flames,Hamilton,17.8,FALSE
Mark Katic ,74,31,5.9,6.5,34.4,62,New York Islanders,Mark Katic (D),2007,1,https://www.eliteprospects.com/player/11395/mark-katic,-,-,5/9/1989,"5'10""",70,87 kg / 192,192,"Timmins, ON, CAN",Canada,L,2007 round 3 #62 overall by New York Islanders,Timmins,18.1,FALSE
Mark MacMillan ,59,44,6.4,8.9,61.2,113,MontrÃ©al Canadiens,Mark MacMillan (F),2010,0,https://www.eliteprospects.com/player/45873/mark-macmillan,-,-,1/23/1992,"6'0""",72,78 kg / 172,172,"Penticton, BC, CAN",Canada,L,2010 round 4 #113 overall by MontrÃ©al Canadiens,Penticton,18.4,FALSE
Mark McNeill ,77,55,12.2,13,58.6,18,Chicago Blackhawks,Mark McNeill (F),2011,0,https://www.eliteprospects.com/player/26414/mark-mcneill,-,-,2/22/1993,"6'2""",74,97 kg / 214,214,"Langley, BC, CAN",Canada,R,2011 round 1 #18 overall by Chicago Blackhawks,Langley,18.3,FALSE
Mark Olver ,39,59,7.4,15.6,124.1,140,Colorado Avalanche,Mark Olver (F),2008,0,https://www.eliteprospects.com/player/15566/mark-olver,-,-,1/1/1988,"5'10""",70,83 kg / 183,183,"Burnaby, BC, CAN",Canada,L,2008 round 5 #140 overall by Colorado Avalanche,Burnaby,20.5,FALSE
Mark Pysyk ,48,47,3.4,5.8,80.3,23,Buffalo Sabres,Mark Pysyk (D),2010,1,https://www.eliteprospects.com/player/23154/mark-pysyk,Detroit Red Wings,Signed,1/11/1992,"6'1""",73,90 kg / 198,198,"Sherwood Park, AB, CAN",Canada,R,2010 round 1 #23 overall by Buffalo Sabres,Sherwood Park,18.5,FALSE
Mark Santorelli ,72,46,11.6,13.2,52.4,119,Nashville Predators,Mark Santorelli (F),2007,0,https://www.eliteprospects.com/player/11052/mark-santorelli,-,-,8/6/1988,"6'1""",73,85 kg / 187,187,"Burnaby, BC, CAN",Canada,R,2007 round 4 #119 overall by Nashville Predators,Burnaby,18.9,FALSE
Mark Scheifele ,73,37,11.9,13.4,41.6,7,Winnipeg Jets,Mark Scheifele (F),2011,0,https://www.eliteprospects.com/player/75379/mark-scheifele,Winnipeg Jets,Signed,3/15/1993,"6'3""",75,94 kg / 207,207,"Kitchener, ON, CAN",Canada,R,2011 round 1 #7 overall by Winnipeg Jets,Kitchener,18.3,FALSE
Mark Stone ,39,25,3.9,8.2,52.6,178,Ottawa Senators,Mark Stone (F),2010,0,https://www.eliteprospects.com/player/32806/mark-stone,Vegas Golden Knights,Signed,5/13/1992,"6'4""",76,100 kg / 220,220,"Winnipeg, MB, CAN",Canada,R,2010 round 6 #178 overall by Ottawa Senators,Winnipeg,18.1,FALSE
Marko Dano ,64,52,7.8,10,66.6,27,Columbus Blue Jackets,Marko Dano (F),2013,0,https://www.eliteprospects.com/player/94946/marko-dano,-,-,11/30/1994,"6'0""",72,96 kg / 212,212,"Eisenstadt, AUT",Slovakia,L,2013 round 1 #27 overall by Columbus Blue Jackets,Eisenstadt,18.6,FALSE
Markus Granlund ,80,75,6.8,7,76.9,45,Calgary Flames,Markus Granlund (F),2011,0,https://www.eliteprospects.com/player/19426/markus-granlund,-,-,4/16/1993,"5'11""",71,85 kg / 187,187,"Oulu, FIN",Finland,L,2011 round 2 #45 overall by Calgary Flames,Oulu,18.2,FALSE
Markus Nutivaara ,44,6,2,3.7,11.2,189,Columbus Blue Jackets,Markus Nutivaara (D),2015,1,https://www.eliteprospects.com/player/47273/markus-nutivaara,San Jose Sharks,Signed,6/6/1994,"6'1""",73,85 kg / 187,187,"Oulu, FIN",Finland,L,2015 round 7 #189 overall by Columbus Blue Jackets,Oulu,21.1,FALSE
Markus Soberg ,56,48,2.5,3.7,70.3,165,Columbus Blue Jackets,Markus SÃ¸berg (F),2013,0,https://www.eliteprospects.com/player/73397/markus-soberg,-,-,4/22/1995,"6'0""",72,84 kg / 185,185,"Oslo, NOR",Norway,R,2013 round 6 #165 overall by Columbus Blue Jackets,Oslo,18.2,FALSE
Martin Frk ,37,45,3.3,7.3,99.7,49,Detroit Red Wings,Martin Frk (F),2012,0,https://www.eliteprospects.com/player/56033/martin-frk,St. Louis Blues,Signed,10/5/1993,"6'1""",73,93 kg / 205,205,"Pelhrimov, CZE",Czechia,R,2012 round 2 #49 overall by Detroit Red Wings,Pelhrimov,18.7,FALSE
Martin Gernat ,51,68,1.1,1.8,109.3,122,Edmonton Oilers,Martin GernÃ¡t (D),2011,1,https://www.eliteprospects.com/player/89280/martin-gernat,-,-,4/11/1993,"6'4""",76,92 kg / 203,203,"Kosice, SVK",Slovakia,L,2011 round 5 #122 overall by Edmonton Oilers,Kosice,18.2,FALSE
Martin Marincin ,47,91,2.7,4.7,158.8,46,Edmonton Oilers,Martin Marincin (D),2010,1,https://www.eliteprospects.com/player/34750/martin-marincin,-,-,2/18/1992,"6'4""",76,95 kg / 209,209,"Kosice, SVK",Slovakia,L,2010 round 2 #46 overall by Edmonton Oilers,Kosice,18.4,FALSE
